ID	Log2FC	FDR	AveExpr	P value	MUP-uPA_1 CPM	MUP-uPA_2 CPM	MUP-uPA_3 CPM	MUP-uPA_4 CPM	MUP-uPA-doubleTrt_1 CPM	MUP-uPA-doubleTrt_2 CPM	MUP-uPA-doubleTrt_3 CPM	MUP-uPA-doubleTrt_4 CPM
ENSMUSG00000074876	0.977055575	0.343198162	-0.286943156	0.051346469	0.689	0.272	0.696	0.33	0.954	0.72	0.677	1.168
ENSMUSG00000114605	-1.199371735	0.343198162	-0.747865054	0.05143131	0.747	0.815	0.209	0.924	0.254	0.42	0.203	0.146
ENSMUSG00000042589	-1.005146157	0.343213718	-0.179880028	0.05147868	1.034	1.359	0.835	0.99	0.636	0.72	0.406	0.073
ENSMUSG00000064065	-0.860327955	0.343213718	0.414268722	0.051466817	1.551	2.446	1.392	1.188	0.572	0.54	1.286	0.803
ENSMUSG00000002017	0.331623527	0.343743192	4.57735317	0.052009173	18.157	25.679	20.88	24.287	22.518	26.45	23.958	26.859
ENSMUSG00000015094	-0.6899458	0.343743192	1.706269302	0.05160433	7.01	2.581	3.132	3.596	1.717	2.219	2.639	2.409
ENSMUSG00000021621	0.405610827	0.343743192	3.070447834	0.051826744	7.872	8.424	6.751	7.194	7.315	9.057	9.678	9.561
ENSMUSG00000023079	0.447549773	0.343743192	3.739997899	0.051985354	9.251	15.489	8.979	13.727	12.149	13.975	13.333	18.028
ENSMUSG00000023906	-1.283727133	0.343743192	-0.75048423	0.051664739	1.034	0.476	0.557	0.66	0	0.3	0.541	0.146
ENSMUSG00000032661	-0.647153065	0.343743192	1.381284026	0.051743336	4.079	3.125	2.784	2.772	1.654	2.639	1.624	1.314
ENSMUSG00000034868	-0.289011315	0.343743192	6.806822674	0.051735907	150.481	130.295	139.898	102.824	95.159	99.923	92.313	92.546
ENSMUSG00000037447	0.749490901	0.343743192	2.430284369	0.051810882	6.952	4.144	3.41	2.376	3.117	3.899	9.475	8.393
ENSMUSG00000038178	-0.384907633	0.343743192	4.501712181	0.0519824	23.012	36.99	25.663	22.885	20.228	20.573	13.096	19.732
ENSMUSG00000038510	0.362625827	0.343743192	4.073423069	0.051935856	13.215	20.652	14.268	14.057	19.083	18.593	15.228	18.028
ENSMUSG00000044345	-0.47271474	0.343743192	4.459832365	0.051611833	36.945	23.912	30.624	17.027	22.772	22.132	13.4	11.167
ENSMUSG00000049521	-0.318479652	0.343743192	4.981011091	0.051825678	38.784	37.363	41.83	30.359	29.133	30.589	20.574	25.399
ENSMUSG00000050379	-0.781008916	0.343743192	1.929666629	0.051887244	4.999	7.405	4.454	2.97	1.018	3.119	4.467	1.606
ENSMUSG00000053182	-1.119817637	0.343743192	0.096725216	0.051948998	2.471	0.408	1.183	1.254	0.382	1.08	0.338	0.365
ENSMUSG00000058317	0.382118377	0.343743192	3.868149052	0.051765812	11.377	14.945	10.44	16.367	15.33	15.834	17.258	13.502
ENSMUSG00000075703	0.365282797	0.343743192	6.222631907	0.051768161	54.01	82.198	55.89	83.091	69.079	73.772	92.043	81.453
ENSMUSG00000091680	1.325306096	0.343743192	-0.761514928	0.051859879	0.172	0.272	0	0.66	0.763	0.54	0.88	0.365
ENSMUSG00000094546	1.750136905	0.343743192	-0.399416479	0.051897994	0.517	0.611	0.07	0.066	0	0.48	2.436	0.876
ENSMUSG00000095351	2.060136146	0.343743192	2.063456359	0.051996106	0.689	4.008	1.81	0.33	0.445	0.78	23.891	0.073
ENSMUSG00000112090	-1.23051791	0.343743192	-0.64831554	0.051689958	1.379	0.543	0.557	0.462	0.064	0.54	0.271	0.219
ENSMUSG00000064080	-0.607617721	0.344130073	2.678601398	0.052090288	9.193	10.801	7.03	5.28	6.043	5.098	5.753	1.898
ENSMUSG00000022894	-0.640004274	0.344673473	3.467405448	0.052421305	17.295	8.22	18.166	12.606	6.361	6.118	15.092	4.744
ENSMUSG00000025104	-0.515358324	0.344673473	2.4486575	0.052387233	8.558	6.659	5.428	5.943	2.862	4.527	5.169	3.976
ENSMUSG00000027559	0.654514408	0.344673473	10.91282363	0.052339376	1127.891	1419.724	848.435	2846.344	1779.273	1634.989	2885.134	2553.858
ENSMUSG00000027883	0.355485947	0.344673473	4.487534147	0.05241835	21.526	24.844	15.892	20.89	25.309	28.964	18.135	22.265
ENSMUSG00000030319	-0.896469091	0.344673473	0.176128605	0.052406728	1.322	1.087	2.088	0.99	1.018	0.6	0.541	0.438
ENSMUSG00000034610	-0.390139114	0.344673473	5.259215315	0.052349359	56.768	40.08	45.38	41.644	36.575	43.244	23.281	22.261
ENSMUSG00000046722	-0.303642042	0.344673473	4.706825734	0.05230262	32.923	36.48	29.789	23.165	22.708	21.052	23.281	20.728
ENSMUSG00000073838	0.263305489	0.344673473	5.868093571	0.052313582	61.997	55.637	52.549	54.58	60.429	62.197	58	59.338
ENSMUSG00000075701	0.355299088	0.344673473	5.793111044	0.052201315	53.608	42.118	57.212	52.336	46.117	49.481	71.807	66.198
ENSMUSG00000102324	0.984513835	0.344673473	0.202502249	0.05228309	0.977	0.747	0.557	0.66	0.827	1.559	0.541	2.263
ENSMUSG00000107516	0.670166344	0.344673473	1.591427849	0.052323125	3.447	2.242	2.018	1.782	5.152	2.519	3.046	2.7
ENSMUSG00000040952	-0.267293259	0.344790086	5.640627998	0.052461663	58.779	61.819	60.622	49.696	43.89	40.425	47.172	38.975
ENSMUSG00000020231	-0.490145514	0.345471297	2.26215527	0.052610648	5.401	6.589	5.081	6.006	3.944	4.198	3.113	3.357
ENSMUSG00000027630	0.285971234	0.345471297	6.223153931	0.05259591	70.845	74.794	62.71	76.293	82.056	84.448	79.387	64.155
ENSMUSG00000025268	-0.402486682	0.345531899	3.303041694	0.052647409	12.928	10.937	12.667	10.494	7.124	10.256	6.768	7.518
ENSMUSG00000026405	0.299915089	0.345531899	8.579600369	0.052665219	394.963	376.551	338.191	345.827	399.083	401.01	398.694	393.395
ENSMUSG00000032097	0.290170654	0.346546544	6.477414823	0.052865344	80.9	77.375	98.137	82.365	88.925	95.244	102.33	83.35
ENSMUSG00000075590	0.380007473	0.346546544	4.369115733	0.052854496	19.076	22.418	22.411	12.276	25.189	22.612	23.484	16.641
ENSMUSG00000057554	0.281691306	0.346998294	7.626666237	0.052968637	197.02	200.801	173.996	184.658	214.49	227.133	190.836	186.697
ENSMUSG00000063605	-0.902338804	0.346998294	0.163057393	0.052979793	2.068	1.019	1.462	0.858	0.763	0.72	0.338	0.73
ENSMUSG00000034312	-0.305242947	0.347188453	4.879675547	0.053073781	33.019	38.735	30.705	34.913	24.864	30.464	21.459	22.324
ENSMUSG00000053716	-0.422713945	0.347188453	3.052233339	0.053077167	10.113	12.024	9.257	8.382	7.633	7.617	6.429	4.671
ENSMUSG00000093769	0.710716344	0.347188453	1.339525557	0.053033112	2.298	1.63	1.67	2.108	2.128	4.558	2.938	1.709
ENSMUSG00000033287	-0.68234325	0.347398069	1.459174563	0.053132006	2.988	4.891	3.898	1.98	1.527	1.619	2.369	2.044
ENSMUSG00000029860	-0.294656893	0.347509355	5.173752814	0.053171827	44.974	47.281	42.976	33.488	32.07	35.053	30.029	25.063
ENSMUSG00000031779	-1.053471136	0.347612889	0.85724833	0.053210476	2.873	2.106	2.018	2.508	2.608	0.66	0.203	0.584
ENSMUSG00000004099	-0.303321114	0.348193816	4.628729837	0.053342681	28.441	33.966	29.093	24.155	20.737	24.111	21.319	17.152
ENSMUSG00000025321	-0.831113129	0.348193816	2.382969038	0.0533685	10.515	2.446	9.187	5.346	1.972	3.059	6.497	2.263
