ID	Log2FC	FDR	AveExpr	P value	MUP-uPA_1 CPM	MUP-uPA_2 CPM	MUP-uPA_3 CPM	MUP-uPA_4 CPM	MUP-uPA-doubleTrt_1 CPM	MUP-uPA-doubleTrt_2 CPM	MUP-uPA-doubleTrt_3 CPM	MUP-uPA-doubleTrt_4 CPM
ENSMUSG00000046223	-0.432788778	0.731385947	0.106620009	0.303169597	1.264	1.019	1.253	1.056	0.827	0.6	1.015	0.584
ENSMUSG00000063415	0.645607517	0.731385947	2.89521608	0.303576541	2.815	4.144	3.758	13.002	10.305	5.338	0.677	17.006
ENSMUSG00000067924	-0.480986294	0.731385947	0.492770605	0.303327897	1.207	1.63	1.531	1.914	0.254	1.439	1.083	1.241
ENSMUSG00000072647	-0.423317748	0.731385947	0.541490785	0.303421814	1.781	1.063	1.197	2.32	1.041	1.07	1.015	1.128
ENSMUSG00000088856	-0.299671546	0.731385947	1.713796816	0.302994804	4.424	3.736	3.758	2.838	2.544	2.639	2.233	3.211
ENSMUSG00000103906	-0.383868363	0.731385947	1.024683727	0.303120098	2.758	2.717	1.74	1.914	2.163	1.919	1.015	1.095
ENSMUSG00000027406	0.14833823	0.731436592	7.490572362	0.303977388	184.898	170.171	179.362	187.103	180.268	180.113	179.619	172.977
ENSMUSG00000028195	0.280144358	0.731686606	3.34016213	0.304129299	9.653	8.56	8.7	11.22	13.803	14.754	7.106	5.985
ENSMUSG00000017697	0.412242652	0.731730484	0.786762829	0.304288946	1.034	2.106	1.044	1.65	2.417	1.739	1.286	1.46
ENSMUSG00000028405	0.152992864	0.731730484	7.891256161	0.30433587	232.416	241.093	238.522	239.637	233.827	225.636	237.281	244.723
ENSMUSG00000032788	-0.158000801	0.731730484	5.166886089	0.304292412	42.231	46.194	37.326	34.847	35.952	35.147	26.53	30.143
ENSMUSG00000032911	-0.703121484	0.731730484	-0.824021768	0.304387591	0.747	0.136	1.114	0.264	0.191	0.54	0.271	0.219
ENSMUSG00000040565	0.152049639	0.731730484	5.675882226	0.304364515	46.713	59.645	52.201	46.528	47.071	46.663	53.601	54.813
ENSMUSG00000113905	-0.62604653	0.731932539	-0.687101913	0.304519666	0.747	0.815	0.835	0.132	0.445	0.48	0.135	0.365
ENSMUSG00000030286	0.142101651	0.732035496	5.411883278	0.304659916	46.713	43.341	39.881	41.314	45.799	42.464	39.389	40.434
ENSMUSG00000049470	0.146537728	0.732035496	7.333415372	0.304675742	173.579	160.525	170.661	144.733	167.992	165.658	160.398	145.607
ENSMUSG00000054405	-0.1429005	0.732035496	5.421336735	0.304706593	46.713	50.542	49.765	43.294	38.165	43.124	39.118	33.136
ENSMUSG00000035439	-0.397385199	0.732191603	2.823223591	0.304819613	12.353	10.122	4.872	6.336	10.75	6.238	2.504	3.138
ENSMUSG00000002055	-0.660055478	0.73247643	0.104254946	0.305157282	1.896	0.747	1.531	0.66	1.527	0.9	0.203	0.073
ENSMUSG00000022617	-0.16049863	0.73247643	4.885558283	0.305074159	29.463	37.468	29.495	35.14	25.98	29.981	26.677	22.45
ENSMUSG00000024143	-0.282876427	0.73247643	3.490050307	0.305285737	12.394	20.881	10.39	8.513	11.511	12.616	8.141	5.718
ENSMUSG00000031669	-0.389209756	0.73247643	0.614861262	0.305322667	1.494	1.63	1.879	1.716	1.145	1.2	1.489	0.73
ENSMUSG00000038368	0.212834777	0.73247643	3.84939674	0.305276758	10.585	13.149	18.682	13.556	13.269	14.26	17.329	13.08
ENSMUSG00000040697	0.180330913	0.73247643	4.065419546	0.305278443	17.984	19.021	14.059	15.179	17.683	19.193	13.671	16.13
ENSMUSG00000063236	-0.260454478	0.73247643	2.175187121	0.305110093	4.941	5.57	5.081	4.686	3.689	3.239	4.399	3.722
ENSMUSG00000113065	-0.353516525	0.73247643	1.182853858	0.304991316	1.839	3.125	2.993	2.244	1.972	1.619	2.03	1.46
ENSMUSG00000027551	0.192785502	0.732481151	3.701684099	0.3054259	14.307	15.149	10.371	11.352	14.948	12.415	13.4	11.167
ENSMUSG00000028289	-0.282599408	0.732481151	2.682909517	0.30541579	7.699	5.299	8.909	7.26	5.089	6.777	6.565	3.065
ENSMUSG00000038145	-0.158492535	0.732481151	6.314863207	0.305468814	77.97	106.383	95.771	76.029	65.39	74.672	66.46	76.562
ENSMUSG00000030960	0.317951958	0.732544694	1.677005485	0.305543378	3.103	2.649	2.993	2.838	2.926	3.959	4.128	1.898
ENSMUSG00000000563	0.150068295	0.732661769	7.736193801	0.305688353	218.913	199.45	219.104	217.66	222.504	218.558	209.465	196.041
ENSMUSG00000035311	-0.15604721	0.732661769	4.416238012	0.305679466	26.028	23.233	25.056	20.657	18.129	19.853	19.018	18.757
ENSMUSG00000103763	-0.502345162	0.732800865	0.049476287	0.305794469	1.034	1.087	0.905	1.452	0.254	0.66	0.744	1.168
ENSMUSG00000029676	-0.249508417	0.732864037	2.577113544	0.305868915	6.723	6.861	5.707	7.524	5.598	5.218	5.753	3.576
ENSMUSG00000005686	-0.375317914	0.733957646	1.310646023	0.306373502	3.193	3.319	2.366	2.376	2.29	1.559	2.91	0.949
ENSMUSG00000018678	0.319863268	0.734228538	1.555911236	0.306592676	3.447	2.649	2.436	2.112	2.163	3.299	2.842	3.503
ENSMUSG00000019880	0.223868718	0.734228538	3.514643901	0.306706141	10.055	13.79	10.18	10.296	12.584	10.256	15.213	8.028
ENSMUSG00000030539	0.225984368	0.734228538	3.287049381	0.306727452	11.549	9.035	10.788	6.468	8.46	9.476	11.505	9.78
ENSMUSG00000039086	0.281345526	0.734228538	2.539702326	0.306561205	4.424	8.56	3.689	5.214	6.106	5.818	5.956	5.693
ENSMUSG00000047989	-0.157877255	0.734228538	4.374361388	0.306705307	22.179	25.746	23.595	20.789	18.129	20.392	18.206	16.86
ENSMUSG00000005481	-0.226601801	0.734434993	2.838149232	0.307513839	8.238	9.585	8.225	6.188	6.257	7.169	6.033	4.98
ENSMUSG00000005774	-0.176436323	0.734434993	4.153825602	0.306868078	22.116	19.194	19.697	18.545	18.574	16.572	12.724	14.743
ENSMUSG00000007589	0.218905418	0.734434993	3.118975679	0.307536522	9.078	10.326	7.726	6.6	9.987	9.836	7.242	7.737
ENSMUSG00000015176	0.175552151	0.734434993	4.981092203	0.306927445	31.429	35.189	30.694	28.181	28.815	24.291	36.005	36.347
ENSMUSG00000023882	0.27814277	0.734434993	2.046218421	0.307522097	4.137	4.484	3.202	3.564	4.516	3.839	3.384	4.817
ENSMUSG00000024331	-0.161068083	0.734434993	5.869678013	0.307036393	74.293	56.452	68.835	61.576	63.545	54.34	45.345	44.959
ENSMUSG00000041915	0.149623607	0.734434993	5.499258565	0.307213284	49.701	47.96	49.069	35.309	46.943	44.443	41.825	45.689
ENSMUSG00000050556	0.283622657	0.734434993	2.359380401	0.307351672	4.022	6.454	3.967	4.752	5.28	6.478	3.519	5.474
ENSMUSG00000050890	0.174082956	0.734434993	4.432329538	0.307457507	17.237	25.882	21.089	21.317	23.917	20.932	21.725	19.341
ENSMUSG00000052456	-0.147515863	0.734434993	5.178193237	0.307171547	46.483	37.838	37.933	38.609	31.995	32.088	34.178	30.946
ENSMUSG00000053769	0.417933284	0.734434993	0.760514622	0.307448523	1.954	1.495	1.462	0.792	2.354	2.099	1.286	1.022
ENSMUSG00000058388	-0.214410083	0.734434993	3.174934413	0.307259043	9.48	10.054	9.466	11.418	8.374	9.051	6.824	6.861
ENSMUSG00000091192	-0.344053084	0.734434993	2.915863653	0.307459676	11.658	8.036	6.167	9.253	3.845	9.484	8.814	2.692
ENSMUSG00000105341	-0.47543067	0.734434993	-0.084765037	0.307197778	1.264	0.883	1.183	0.66	0.954	0.54	0.677	0.365
ENSMUSG00000110556	0.56922045	0.734434993	-0.493569009	0.3069803	0.689	0.747	0.278	0.264	0.7	1.08	0.541	0.292
ENSMUSG00000064351	0.237365017	0.734448982	15.10336521	0.307590569	36199.913	30964.511	33655.596	35905.26	35854.772	36295.968	35746.081	35779.774
ENSMUSG00000026463	-0.18727242	0.734485603	3.697645641	0.307659037	15.973	14.13	14.755	13.2	11.259	13.255	12.317	8.612
ENSMUSG00000028149	-0.190403209	0.734485603	4.533781525	0.307702288	21.661	33.287	28.258	21.185	19.019	18.833	18.679	24.377
ENSMUSG00000032481	0.158426763	0.734552705	4.977280143	0.307778596	27.58	33.083	31.808	32.999	27.734	32.148	35.734	29.34
ENSMUSG00000015468	-0.268439431	0.735072849	2.120373479	0.30808589	5.401	4.484	4.385	5.214	2.862	3.839	3.858	3.868
ENSMUSG00000053730	-0.39604502	0.735072849	0.81248499	0.308092996	1.724	1.97	2.366	1.782	1.145	1.02	1.083	2.044
ENSMUSG00000058729	0.331118928	0.735494884	2.427112307	0.308318143	6.09	4.484	3.967	5.148	8.206	7.377	2.842	3.722
ENSMUSG00000049488	-0.345815647	0.735565873	1.484254785	0.308444426	3.16	2.31	2.714	4.356	2.481	2.399	1.624	2.336
ENSMUSG00000080727	0.660745198	0.735565873	-0.769130311	0.308437817	0.422	0.476	0.418	0.198	1.026	0.519	0.068	0.511
ENSMUSG00000019303	-0.619025242	0.735762571	-0.835853092	0.30876861	0.689	0.543	0.626	0.33	0.354	0.6	0.068	0.219
ENSMUSG00000023452	-0.161416888	0.735762571	4.762747063	0.308759955	32.58	35.512	26.047	27.217	22.009	26.99	27.207	20.275
ENSMUSG00000027249	0.171319802	0.735762571	9.871710353	0.3086913	945.579	946.166	938.29	905.487	961.26	928.153	925.909	927.289
ENSMUSG00000036402	-0.141989864	0.735762571	5.980886855	0.308816558	74.867	70.649	70.715	64.48	61.828	63.156	51.03	50.506
ENSMUSG00000097379	-0.492093401	0.735762571	0.696474569	0.308644584	2.592	2.166	1.475	1.117	1.293	2.011	1.098	0.223
ENSMUSG00000097785	-0.517853455	0.735762571	0.585615173	0.308810217	1.207	2.921	1.183	1.518	1.018	2.219	0.474	0.511
ENSMUSG00000093579	0.607056007	0.736083297	-0.745141919	0.309046921	0.23	0.476	0.348	0.528	0.509	0.42	1.015	0.219
ENSMUSG00000106317	-0.51734033	0.736083297	-0.17186254	0.309047767	0.402	1.291	1.114	0.99	0.509	0.84	0.406	0.584
ENSMUSG00000024359	0.165055543	0.736182194	9.387033566	0.309157085	702.591	663.906	654.666	654.762	695.883	673.548	661.625	639.723
ENSMUSG00000035559	-0.219631073	0.736182194	3.521907906	0.309185895	13.962	12.703	17.052	8.316	9.223	11.036	10.016	9.342
ENSMUSG00000017405	-0.268223737	0.736798361	2.221061425	0.30988256	5.458	5.435	5.777	4.356	4.898	4.198	3.79	2.628
ENSMUSG00000017670	-0.217140736	0.736798361	3.370283978	0.310479666	10.802	16.168	11.484	8.382	9.541	8.877	8.663	8.539
ENSMUSG00000018666	-0.15532651	0.736798361	4.486467425	0.309854911	23.155	25.882	25.752	24.683	20.737	20.092	18.612	20.071
ENSMUSG00000021796	0.164560442	0.736798361	5.786748864	0.310392147	60.445	42.73	64.031	52.666	62.21	57.578	54.143	46.2
ENSMUSG00000022906	0.145323219	0.736798361	6.394208456	0.310439931	97.379	84.226	78.998	78.237	84.523	97.768	74.255	76.952
ENSMUSG00000024726	0.198988206	0.736798361	3.63034481	0.309627355	11.204	11.82	12.598	12.672	9.605	12.595	14.009	13.21
ENSMUSG00000025127	0.15255706	0.736798361	7.216511504	0.310013705	169.557	135.661	163.562	128.959	152.026	160.26	139.012	139.622
ENSMUSG00000026833	0.292403392	0.736798361	2.025796457	0.310335855	3.505	3.668	3.619	4.224	5.216	4.018	2.775	4.379
ENSMUSG00000026950	-0.29613875	0.736798361	6.293078814	0.310235565	142.954	47.96	128.623	48.838	59.411	81.15	57.865	67.001
ENSMUSG00000030223	-0.493171981	0.736798361	0.548139583	0.310130838	2.068	2.378	0.835	1.32	1.717	0.9	0.338	1.168
ENSMUSG00000030346	-0.608511457	0.736798361	-0.395158787	0.309506129	1.207	0.679	1.044	0.264	0.636	0.72	0.406	0.073
ENSMUSG00000031698	0.555176575	0.736798361	-0.323717937	0.310316742	0.46	0.272	0.626	0.924	0.7	0.96	1.083	0.292
ENSMUSG00000031953	0.213151996	0.736798361	3.24570285	0.309582213	8.389	9.714	8.77	9.834	9.541	8.037	11.37	8.977
ENSMUSG00000032826	-0.264034218	0.736798361	2.586961879	0.310323053	8.561	6.386	5.498	6.732	6.743	5.518	4.399	3.503
ENSMUSG00000038007	0.204203654	0.736798361	4.470855817	0.310187249	18.904	18.953	23.873	24.683	18.828	18.233	23.281	28.319
ENSMUSG00000060206	-0.31202488	0.736798361	1.998779006	0.309851284	3.907	4.008	6.751	3.498	3.244	2.879	4.196	2.7
ENSMUSG00000061601	-0.500217573	0.736798361	0.218839552	0.309989211	0.804	0.815	1.74	1.727	0.954	0.96	1.015	0.292
ENSMUSG00000062232	-0.153256218	0.736798361	5.635124601	0.310508226	57.572	56.86	56.516	50.554	36.512	44.143	43.788	52.185
ENSMUSG00000073702	-0.141075503	0.736798361	6.250269516	0.310263255	95.478	83.594	82.934	76.557	73.041	68.885	68.844	62.202
ENSMUSG00000078234	0.234138168	0.736798361	5.624520129	0.309977865	46.541	54.414	37.66	52.93	70.67	65.615	36.14	29.778
ENSMUSG00000082361	-0.282591441	0.736798361	2.959195541	0.309778753	14.307	7.608	8.074	5.808	5.025	7.797	5.414	7.737
ENSMUSG00000087516	0.393559768	0.736798361	2.370913462	0.309912422	1.954	7.812	2.227	6.468	6.043	5.938	4.67	5.036
ENSMUSG00000016921	0.141125043	0.736827222	5.885107387	0.310701361	63.548	59.101	63.337	52.204	56.676	56.739	65.107	54.959
ENSMUSG00000047260	0.14551484	0.736827222	5.022039937	0.310713769	34.532	35.529	30.137	30.359	35.557	33.647	29.102	30.07
ENSMUSG00000057058	-0.537161146	0.736827222	-0.437715644	0.310611078	0.804	0.747	0.835	0.66	0.382	0.54	0.135	0.803
ENSMUSG00000098014	0.374876174	0.736827222	0.947277449	0.310641807	1.494	1.359	2.088	1.716	1.399	1.859	2.707	1.752
ENSMUSG00000020614	0.189081277	0.737470629	5.071263876	0.311033476	25.339	41.031	28.676	37.355	32.441	32.928	29.643	39.267
ENSMUSG00000016559	0.162265372	0.737495491	7.796108374	0.31109235	261.719	200.809	251.12	177.929	228.42	242.489	219.008	197.063
ENSMUSG00000036371	0.147194035	0.737798765	7.95851619	0.311268687	251.6	252.627	251.733	244.059	253.8	247.103	248.914	236.256
ENSMUSG00000015749	0.192114959	0.738577027	4.249785911	0.312014343	18.559	19.429	16.983	19.733	14.121	18.653	20.101	22.991
ENSMUSG00000029088	-0.621984559	0.738577027	-0.587859776	0.311788099	1.207	0.476	0.209	0.792	0.318	0.48	0.609	0.146
ENSMUSG00000030359	0.20310877	0.738577027	12.6150201	0.311801411	6649.077	6110.238	6165.234	5822.409	6744.57	6735.829	5947.222	5931.046
ENSMUSG00000032374	-0.367888899	0.738577027	2.061452136	0.311779953	6.433	3.329	5.568	3.96	3.626	2.279	5.749	1.679
ENSMUSG00000038121	0.159543175	0.738577027	7.120836583	0.312033166	134.336	134.914	123.194	162.354	133.197	143.466	154.172	123.639
ENSMUSG00000041293	-0.414648927	0.738577027	3.155787	0.311914621	13.675	6.929	19.697	2.574	8.842	6.418	5.685	7.372
ENSMUSG00000055069	-0.46280808	0.738577027	0.3287362	0.311773194	1.149	2.31	0.696	1.386	0.891	0.72	1.218	0.73
ENSMUSG00000079164	0.35511524	0.738577027	2.701501607	0.311912105	5.286	8.356	3.55	6.534	8.46	11.096	4.534	3.138
ENSMUSG00000084329	-0.858412175	0.738577027	-1.190605485	0.311973668	0.575	0	0.557	0.528	0	0.12	0.406	0.292
ENSMUSG00000028108	0.215396253	0.738772071	5.382893449	0.31216404	22.983	46.67	47.329	45.34	44.526	40.785	37.968	45.105
ENSMUSG00000007613	-0.145496731	0.738820623	6.290302449	0.312233031	96.758	83.421	88.184	79.989	80.211	68.314	67.814	63.79
ENSMUSG00000034940	0.153249175	0.738826639	4.496245136	0.31228405	22.753	25.271	21.228	20.987	21.627	23.031	21.116	23.356
ENSMUSG00000108910	0.553540487	0.738847377	-0.365124224	0.312341293	0.689	0.747	0.278	0.528	0.254	0.78	0.744	1.168
ENSMUSG00000001768	-0.146801785	0.738909158	4.710296061	0.312415892	29.706	29.007	30.137	27.257	25.825	25.071	21.996	20.509
ENSMUSG00000001034	-0.317683874	0.738919428	1.724558049	0.312517199	3.39	5.163	3.41	3.036	2.099	2.519	2.369	3.649
ENSMUSG00000005540	-0.607465154	0.738919428	0.315410507	0.312478165	0.689	3.736	1.044	0.33	0.7	1.14	0.812	0.657
ENSMUSG00000112527	0.470113524	0.739016934	1.298283159	0.312606927	0.919	4.687	1.183	1.65	1.845	2.219	2.842	3.357
ENSMUSG00000020720	0.161822608	0.7391658	6.130235284	0.31292011	59.066	81.044	60.762	78.273	63.927	70.714	70.318	73.351
ENSMUSG00000021364	-0.190353198	0.7391658	9.621754113	0.312844633	798.832	908.327	1134.286	720.628	662.934	722.01	651.947	736.43
ENSMUSG00000028464	-0.32269243	0.7391658	4.286235303	0.312965994	15.858	29.415	9.118	36.101	17.811	15.114	13.942	17.955
ENSMUSG00000030879	0.156828203	0.7391658	4.82041083	0.312993491	30.165	29.347	25.056	28.247	30.978	28.01	23.62	29.194
ENSMUSG00000031398	-0.524273031	0.7391658	0.125784762	0.312961817	1.724	0.815	0.974	1.254	0.827	0.6	0.203	1.314
ENSMUSG00000032548	-0.175533817	0.7391658	5.177718917	0.312982267	34.934	49.93	38.072	39.335	30.66	25.61	35.667	35.471
ENSMUSG00000069456	-0.230381348	0.7391658	6.147660443	0.313009387	58.319	95.099	52.061	115.786	58.775	71.973	61.384	54.229
ENSMUSG00000042215	-0.288133552	0.739549358	2.13882958	0.313317381	3.677	5.503	6.264	4.488	3.435	2.879	4.399	3.795
ENSMUSG00000102401	-0.434833119	0.739549358	0.639779551	0.313267036	1.207	2.242	1.114	2.376	0.954	1.2	0.812	1.606
ENSMUSG00000108633	0.563334784	0.739549358	-0.295223486	0.313295594	0.345	1.155	0.557	0.33	0.445	1.32	0.541	0.803
ENSMUSG00000107586	-0.56842988	0.73959355	-0.136277361	0.31338463	0.862	1.087	1.253	0.726	0.954	1.02	0.135	0.219
ENSMUSG00000031781	-0.200375605	0.740003349	3.57517992	0.313606826	13.388	13.4	14.342	12.342	12.722	11.959	7.921	8.831
ENSMUSG00000000673	0.158232077	0.740298958	8.355423455	0.313780675	313.373	339.12	366.658	293.425	319.636	320.46	355.989	307.272
ENSMUSG00000022312	0.14358462	0.740374869	6.347622235	0.313925606	81.073	80.636	82.129	83.289	78.112	75.332	82.974	85.102
ENSMUSG00000029405	0.144854663	0.740374869	6.680324334	0.313958584	102.354	113.693	94.042	102.558	91.692	104.759	106.442	102.87
ENSMUSG00000031351	-0.799812545	0.740374869	-0.413212731	0.313861895	0.517	0.068	1.114	1.584	0.382	0.18	1.083	0.073
ENSMUSG00000030805	0.23612952	0.740376634	3.389299845	0.314007911	9.136	11.413	11.136	8.712	7.315	8.937	12.453	13.429
ENSMUSG00000024099	0.138718971	0.740448295	5.72973545	0.314086886	56.366	48.096	55.542	53.392	55.085	53.26	51.233	49.85
ENSMUSG00000020265	0.158155103	0.740815836	5.942277783	0.314291398	52.587	68.573	54.462	69.562	59.823	58.51	62.175	63.397
ENSMUSG00000028063	-0.166033134	0.740876313	5.287176046	0.314365666	49.471	49.047	37.236	39.335	44.336	34.307	29.914	29.997
ENSMUSG00000041153	-0.357185206	0.741283449	2.0347243	0.314587058	7.182	3.261	4.385	4.026	2.608	3.719	5.211	1.606
ENSMUSG00000009630	0.156818557	0.741397432	4.446963345	0.31483001	20.915	25.679	19.975	20.525	23.217	21.232	20.71	21.093
ENSMUSG00000030082	0.153304322	0.741397432	7.604620315	0.314751749	201.044	181.473	224.254	174.234	189.364	184.731	197.553	200.201
ENSMUSG00000038168	-0.302401077	0.741397432	1.902955793	0.314771303	4.732	3.261	5.706	3.202	2.735	2.819	3.714	2.919
ENSMUSG00000105519	0.365162324	0.741397432	1.014396877	0.314793406	1.379	1.562	1.74	2.31	2.544	2.279	1.557	1.679
ENSMUSG00000015806	0.153442745	0.741501273	6.606333809	0.314923717	89.174	95.106	111.222	94.443	87.017	93.625	105.283	100.283
ENSMUSG00000051486	-0.629282553	0.741501273	-0.466838608	0.315088208	1.034	0.408	1.114	0.462	0.7	0.48	0.541	0
ENSMUSG00000058396	-0.175399502	0.741501273	4.694036518	0.315106211	23.155	37.635	28.954	26.267	19.91	22.552	24.703	24.012
ENSMUSG00000074373	-0.453183648	0.741501273	0.957399354	0.314985088	1.378	3.278	1.57	2.653	0.492	1.575	1.976	1.73
ENSMUSG00000107577	0.461957313	0.741501273	0.589573525	0.315117364	1.239	1.022	0.881	1.74	0.606	2.091	2.199	1.169
ENSMUSG00000026958	-0.162872429	0.741598298	4.203022018	0.315255913	20.627	22.01	19.836	19.469	14.376	16.794	16.446	17.444
ENSMUSG00000103780	-0.590656975	0.741598298	-0.467864798	0.315237776	1.264	0.204	0.626	0.858	0.636	0.42	0.474	0.219
ENSMUSG00000006906	0.250368897	0.741642974	2.281652805	0.315469549	4.424	4.348	5.081	4.488	4.834	4.918	4.264	5.401
ENSMUSG00000009621	-0.163582294	0.741642974	5.145799591	0.315381456	40.45	49.183	38.489	30.755	33.013	37.666	28.425	26.786
ENSMUSG00000037938	0.214214143	0.741642974	3.582998743	0.315439667	13.215	9.986	11.484	11.814	15.266	13.915	8.595	10.364
ENSMUSG00000040907	-0.585309021	0.741642974	-0.85324305	0.315422733	0.46	0.543	0.696	0.462	0.254	0.12	0.541	0.365
ENSMUSG00000029185	0.153939556	0.741684524	5.543403697	0.315544119	55.619	46.738	51.435	33.857	46.689	50.681	43.517	44.157
ENSMUSG00000051518	0.245482063	0.741684524	2.461372812	0.315584551	5.114	5.91	4.733	5.148	5.216	4.558	6.497	5.766
ENSMUSG00000021731	0.151613042	0.74183343	4.519184914	0.315696583	26.132	23.087	22.203	20.393	22.454	23.931	24.567	19.779
ENSMUSG00000019302	0.14360965	0.741862053	5.444151479	0.315965359	41.369	52.648	41.134	40.127	40.01	46.902	44.939	40.288
ENSMUSG00000032264	0.183658747	0.741862053	3.678151593	0.315797098	12.928	11.277	13.781	12.276	12.658	12.775	11.438	13.94
ENSMUSG00000047230	0.185254359	0.741862053	6.976825682	0.315981906	119.397	150.539	89.924	139.189	154.252	132.55	118.167	101.67
ENSMUSG00000048706	0.179864644	0.741862053	4.664313517	0.315923224	28.499	19.089	24.639	27.719	23.981	23.331	24.364	29.194
ENSMUSG00000059173	-0.216192024	0.741862053	3.070600489	0.315814205	11.089	7.405	9.187	9.9	7.315	7.017	8.054	6.496
ENSMUSG00000060227	-0.229023054	0.741862053	3.894376304	0.316000817	21.029	17.527	14.129	14.981	13.167	16.014	15.634	6.715
ENSMUSG00000002105	-0.209794427	0.741883896	3.233934371	0.316309546	12.124	10.394	11.415	8.382	7.824	9.896	8.392	6.423
ENSMUSG00000010095	0.156159011	0.741883896	4.903327024	0.316370993	28.269	32.608	30.276	28.379	28.497	25.67	30.455	33.574
ENSMUSG00000020832	-0.20154256	0.741883896	3.337702724	0.316473448	13.158	12.16	10.997	9.108	7.888	10.616	7.783	8.758
ENSMUSG00000022564	-0.146825498	0.741883896	6.522888566	0.316350154	111.64	120.784	96.606	82.167	77.667	88.047	81.485	81.744
ENSMUSG00000030057	0.145657651	0.741883896	7.603620607	0.316545566	193.747	189.872	207.48	190.667	208.129	191.208	190.718	180.641
ENSMUSG00000032411	0.190064597	0.741883896	4.622813972	0.316096185	28.671	23.776	22.829	22.043	31.423	29.269	22.334	16.057
ENSMUSG00000034674	0.220418206	0.741883896	2.900222264	0.31638964	6.608	7.269	7.169	7.656	7.506	6.298	7.648	8.32
ENSMUSG00000041308	0.157233323	0.741883896	4.337190608	0.316514068	21.891	20.652	18.375	19.667	21.818	19.853	20.371	17.955
ENSMUSG00000068587	0.144714156	0.741883896	7.796388245	0.31625509	225.119	222.751	225.368	220.96	219.451	241.11	220.09	201.077
ENSMUSG00000097145	-0.359026353	0.741883896	1.489443559	0.316448361	3.275	2.989	2.297	4.092	2.354	3.419	1.827	1.241
ENSMUSG00000097707	-0.671432618	0.741883896	-0.2192083	0.316477868	0.517	1.155	0.139	1.914	0.572	0.78	0.609	0.146
ENSMUSG00000031950	0.162781881	0.742146482	3.93346964	0.3167063	16.72	15.081	14.755	14.123	14.948	14.934	16.175	14.378
ENSMUSG00000074647	-0.446240508	0.742171999	0.436828603	0.316786962	1.602	1.479	1.345	1.518	1.773	1.017	0.572	0.504
ENSMUSG00000079436	-0.676623634	0.742171999	-0.701354831	0.316814581	1.118	0.73	0.487	0.178	0.064	0.471	0.203	0.639
ENSMUSG00000038733	0.138458165	0.742477095	6.605938569	0.316993534	95.954	106.383	98.346	92.265	93.378	97.464	101.518	92.4
ENSMUSG00000030551	-0.193460748	0.742480129	5.105638067	0.317069096	37.773	44.202	41.254	32.384	40.889	35.524	24.553	20.356
ENSMUSG00000061808	0.210895387	0.742480129	11.84093667	0.317092261	3075.529	3772.435	3264.562	4237.573	3869.975	3649.215	3421.079	3890.161
ENSMUSG00000021118	-0.51190538	0.742616202	-0.049763066	0.317199099	1.494	1.019	1.392	0.264	0.572	0.6	0.744	0.657
ENSMUSG00000045316	0.192952731	0.742622862	5.809382634	0.317250669	49.873	55.433	43.849	70.947	72.26	61.057	45.818	46.638
ENSMUSG00000018293	-0.147876051	0.7428046	7.533021389	0.317377046	210.524	238.376	204.696	174.102	171.363	176.754	150.585	164
ENSMUSG00000027386	-0.549714195	0.742880741	0.215466853	0.317458321	1.551	0.476	2.366	0.792	0.7	0.36	1.286	0.803
ENSMUSG00000034566	0.145696748	0.743014017	7.374344251	0.317564025	180.819	154.751	164.745	166.71	175.688	167.397	163.782	150.862
ENSMUSG00000000126	0.574599079	0.743101991	-0.739553128	0.31797946	0.632	0.272	0.487	0.198	0.509	0.72	0.677	0.219
ENSMUSG00000001627	-0.208476564	0.743101991	3.931872214	0.317669016	22.408	12.296	17.783	16.235	12.658	10.937	14.28	14.962
ENSMUSG00000015776	-0.185463102	0.743101991	4.093909572	0.317935009	22.351	17.934	17.887	18.347	17.747	18.173	12.25	11.824
ENSMUSG00000027618	0.146958595	0.743101991	5.102285713	0.3181028	35.566	33.559	33.756	34.715	32.377	36.166	30.252	36.785
ENSMUSG00000027792	-0.158996109	0.743101991	7.421933966	0.318186707	203.227	176.353	163.841	220.63	152.153	162.839	146.321	149.841
ENSMUSG00000027799	-0.279219359	0.743101991	2.488654567	0.317858414	8.331	5.638	7.517	4.092	4.389	4.738	6.226	3.357
ENSMUSG00000028629	0.307299376	0.743101991	1.782919095	0.318126824	3.792	2.514	3.202	3.036	3.562	4.858	2.369	3.065
ENSMUSG00000052926	-0.206691249	0.743101991	3.365414066	0.317884376	14.02	10.462	12.459	9.391	8.142	11.336	8.121	8.101
ENSMUSG00000059208	0.142593318	0.743101991	6.319193506	0.317933965	72.947	80.602	88.104	79.129	81.776	76.134	81.228	76.432
ENSMUSG00000061759	0.179209075	0.743101991	3.873586381	0.318176318	13.847	18.614	13.155	12.408	15.584	15.114	12.859	14.67
ENSMUSG00000102432	-0.580687206	0.743101991	-0.408229395	0.318074903	0.919	0.815	1.114	0.33	0.7	0.3	0.135	0.73
ENSMUSG00000104235	0.327244642	0.743101991	1.406472541	0.31803449	2.413	2.989	2.227	1.914	1.908	3.419	2.301	2.992
ENSMUSG00000006526	0.223003442	0.743342681	2.794212148	0.318387312	6.493	6.589	7.03	6.534	8.396	6.897	5.82	6.569
ENSMUSG00000050908	-0.451675944	0.743342681	0.134496038	0.318348054	1.524	0.863	1.178	1.127	0.898	1.158	0.394	0.593
