ID	Log2FC	FDR	AveExpr	P value	MUP-uPA CPM 1	MUP-uPA CPM 2	MUP-uPA CPM 3	MUP-uPA CPM 4	MuP-uPA/sgp130_BGP-15_CPM 1	MuP-uPA/sgp130_BGP-15_CPM 2	MuP-uPA/sgp130_BGP-15_CPM 3	MuP-uPA/sgp130_BGP-15_CPM 4
ENSMUSG00000025937	0.224915337	0.694457309	8.346918284	0.299678912	224.193	352.878	310.854	348.931	337.437	330.493	348.391	328.418
ENSMUSG00000026278	-0.339092731	0.694457309	1.974190973	0.299794259	5.934	3.763	4.849	3.255	2.211	4.353	2.638	3.547
ENSMUSG00000028452	0.184947123	0.694457309	8.059164415	0.29979962	267.829	256.703	258.189	255.762	290.623	269.649	270.368	257.481
ENSMUSG00000041313	-0.440406449	0.694457309	1.855550509	0.299766657	5.719	2.168	7.028	2.306	1.737	1.685	3.756	4.034
ENSMUSG00000043964	-0.182129926	0.694457309	4.165929674	0.299742415	19.731	20.472	21.295	17.43	15.159	18.115	15.585	15.092
ENSMUSG00000053094	-0.16634444	0.694457309	6.431278119	0.299770429	107.303	83.038	94.102	96.166	78.872	72.876	77.207	82.401
ENSMUSG00000021594	0.193202124	0.69450086	6.450811238	0.299876348	83.336	98.532	73.289	81.508	89.672	103.33	74.802	89.964
ENSMUSG00000022698	0.16753585	0.694545814	6.00848182	0.300201791	70.418	56.953	61.285	63.818	72.24	66.562	56.427	65.795
ENSMUSG00000025381	0.16504098	0.694545814	5.447683947	0.299969121	41.893	43.113	47.932	38.318	46.502	41.566	44.598	43.747
ENSMUSG00000049811	0.392347485	0.694545814	1.111178557	0.300213979	1.93	0.957	2.108	2.374	2.526	2.106	1.838	2.365
ENSMUSG00000055137	0.275582147	0.694545814	3.667712068	0.300214796	8.936	15.329	7.466	14.551	14.132	13.692	11.829	13.215
ENSMUSG00000090963	-0.560204986	0.694545814	-0.466342403	0.300057838	0.858	0.957	0.562	0.475	0.553	0.491	0.32	0.417
ENSMUSG00000097251	-0.619785069	0.694545814	-0.694846128	0.300176529	0.429	0.638	0.773	0.543	0.711	0.281	0.16	0.278
ENSMUSG00000103421	0.257668025	0.694545814	3.03571483	0.300211608	6.577	8.355	9.702	6.072	6.422	10.392	8.152	8.669
ENSMUSG00000030087	0.288835543	0.695191228	6.258723604	0.300539393	81.284	54.147	56.155	93.998	73.819	39.811	96.149	111.837
ENSMUSG00000038462	0.192829529	0.69519683	5.988198112	0.300587434	55.548	68.56	53.273	66.395	61.661	73.654	65.378	58.353
ENSMUSG00000016526	-0.383046724	0.695226576	1.289251188	0.300834924	2.645	2.806	3.163	2.238	1.895	1.966	1.039	2.712
ENSMUSG00000024576	0.173835446	0.695226576	7.311077262	0.300678326	160.281	148.409	178.936	136.792	170.692	147.799	170.719	155.724
ENSMUSG00000034189	-0.232504359	0.695226576	3.147419724	0.300871919	10.152	10.141	8.082	10.58	8.053	7.653	7.513	7.511
ENSMUSG00000053164	0.535763432	0.695226576	-0.162182137	0.300837569	1.144	0.51	0.633	0.339	0.868	0.632	1.199	0.765
ENSMUSG00000097296	0.695714894	0.695226576	-0.64278155	0.30073944	0.357	0.064	1.054	0.203	0.474	0.562	0.879	0.487
ENSMUSG00000107118	0.478769036	0.695226576	0.548773632	0.300874025	2.002	0.893	0.914	0.882	2.132	0.843	1.758	1.252
ENSMUSG00000103247	0.46705905	0.695291825	1.211416487	0.300947889	2.502	2.105	1.546	1.492	4.974	1.264	1.998	1.6
ENSMUSG00000000056	0.180688866	0.695448572	5.26837635	0.30116547	39.105	33.738	34.227	42.523	34.975	37.353	42.44	41.522
ENSMUSG00000070323	-0.46891763	0.695448572	0.192576247	0.301198279	1.787	0.765	1.476	0.882	0.79	0.983	0.719	0.696
ENSMUSG00000074373	-0.531501576	0.695448572	0.79026553	0.301187353	3.187	2.105	0.68	1.745	0.988	1.157	0.616	2.162
ENSMUSG00000080731	-0.752928709	0.695448572	-0.863820637	0.301172868	0.858	0.574	0.281	0.407	0.237	0.281	0.639	0
ENSMUSG00000037940	-0.375618034	0.695612641	2.071536586	0.301314984	6.649	2.934	7.028	2.984	4.105	4.002	1.678	3.756
ENSMUSG00000029447	0.174285097	0.695705136	6.759224262	0.301446356	113.767	99.775	102.456	107.391	110.254	101.292	121.469	106.534
ENSMUSG00000032491	-0.608026896	0.695705136	-0.596535724	0.301426559	0.715	0.446	0.703	0.746	0.079	0.632	0.48	0.348
ENSMUSG00000025200	0.222170777	0.695900728	4.158625852	0.301582082	13.512	19.516	17.149	17.43	19.343	13.2	21.34	19.266
ENSMUSG00000030451	0.171928873	0.695900728	7.050889262	0.301645766	152.131	113.714	130.231	125.127	136.427	128.35	136.751	136.598
