ID	Log2FC	FDR	AveExpr	P value	MUP-uPA CPM 1	MUP-uPA CPM 2	MUP-uPA CPM 3	MUP-uPA CPM 4	MuP-uPA/sgp130_BGP-15_CPM 1	MuP-uPA/sgp130_BGP-15_CPM 2	MuP-uPA/sgp130_BGP-15_CPM 3	MuP-uPA/sgp130_BGP-15_CPM 4
ENSMUSG00000040328	-1.178922418	0.149392168	0.359173013	0.014861771	1.255	0.893	2.927	1.565	0.57	0.562	0.719	0.766
ENSMUSG00000063142	-1.140813735	0.149530125	1.095654684	0.014885307	3.717	1.148	5.341	1.56	1.026	0.913	1.359	1.391
ENSMUSG00000023909	-0.849727388	0.149605943	1.705804691	0.014902672	4.254	2.62	6.484	3.609	2.759	2.123	1.69	1.925
ENSMUSG00000079139	-0.849429598	0.149801376	1.375587813	0.01493197	3.789	2.742	2.952	3.594	1.895	1.896	1.199	1.669
ENSMUSG00000027603	-1.387424263	0.150240847	-0.26966231	0.014995494	1.573	0.446	1.265	0.882	0.316	0.562	0.32	0.209
ENSMUSG00000039782	0.500918359	0.150240847	5.236826651	0.014993397	43.966	28.317	26.285	31.4	56.446	41.566	36.523	34.845
ENSMUSG00000041577	-0.475564201	0.1502432	6.392800594	0.015005588	119.675	72.734	146.702	76.252	59.321	67.362	69.134	73.037
ENSMUSG00000030255	-1.004450267	0.150480876	1.804783814	0.0150392	8.364	2.615	6.044	2.102	1.658	2.668	1.758	2.365
ENSMUSG00000038623	-1.00516774	0.150519705	1.514425902	0.015072713	5.295	1.558	5.288	3.263	1.5	1.023	2.207	2.114
ENSMUSG00000049225	-0.892928258	0.150519705	1.555612451	0.01506156	5.862	2.87	4.076	2.509	1.658	1.404	2.078	2.295
ENSMUSG00000097583	0.745509883	0.150519705	2.211613174	0.015063245	4.075	3.827	2.741	3.323	7.263	4.634	5.675	4.173
ENSMUSG00000112391	1.120101088	0.150835237	1.041322672	0.015114207	2.431	0.765	1.125	0.882	3.632	1.334	3.277	2.017
ENSMUSG00000097385	1.409284521	0.150943549	0.38459632	0.015134966	0.786	0.702	0.141	1.017	3.158	0.772	1.598	1.182
ENSMUSG00000113543	0.850540855	0.151260214	1.767603543	0.015176643	1.787	2.934	2.811	2.17	3.316	5.477	4.476	2.921
ENSMUSG00000028483	0.53457835	0.15172201	3.574997543	0.015232934	12.18	7.892	12.435	8.184	17.93	13.513	11.727	10.513
ENSMUSG00000051817	-0.99972342	0.151918445	0.813566948	0.015262625	1.716	2.041	2.39	2.713	1.421	0.983	0.639	1.043
ENSMUSG00000027379	-1.804242133	0.152124437	0.310361223	0.015293303	2.216	0.383	4.498	0.271	0.237	0.702	0.639	0.209
ENSMUSG00000032207	0.454114109	0.152265571	6.297353192	0.015317483	54.333	77.68	72.39	69.786	82.425	100.124	86.239	79.288
ENSMUSG00000020154	0.433260176	0.152522314	7.42463761	0.015361619	146.984	163.205	142.46	152.594	200.693	197.439	176.393	182.571
ENSMUSG00000037443	0.473902914	0.152522314	5.784905724	0.015363328	55.548	40.562	56.998	40.827	49.739	47.675	70.733	76.575
ENSMUSG00000107719	1.413440922	0.152839491	0.037768177	0.015405306	0.786	0.638	0.281	0.339	2.447	0.562	1.359	0.765
ENSMUSG00000029249	0.38972685	0.152949606	5.522390646	0.015426442	39.749	41.902	44.699	38.996	46.976	54.345	47.475	50.563
ENSMUSG00000027435	-0.663313423	0.153019484	5.37233276	0.015453788	77.924	31.059	78.153	30.451	23.212	25.558	37.565	35.749
ENSMUSG00000031557	-0.556766629	0.153019484	3.269024496	0.015482701	14.084	8.291	16.144	9.427	8.132	7.712	5.914	7.703
ENSMUSG00000041939	0.685956718	0.153019484	4.278518398	0.015457226	10.152	15.306	23.544	13.089	12.948	18.606	30.851	28.377
ENSMUSG00000044461	-1.172318108	0.153019484	0.275313781	0.015476813	1.501	1.212	2.46	1.017	0.316	0.702	0.879	0.556
ENSMUSG00000051236	-0.451274805	0.153019484	4.866676614	0.015483696	38.462	25.638	46.807	30.926	19.659	22.749	26.615	24.83
ENSMUSG00000038217	0.528427122	0.15348156	6.119157856	0.015540524	41.536	74.634	58.825	58.803	65.529	70.095	87.597	90.465
ENSMUSG00000064141	-1.087233202	0.153732364	0.853868021	0.015576007	3.146	1.403	1.476	3.323	1.263	0.772	1.039	0.974
ENSMUSG00000026879	-0.509084542	0.1537593	6.111211404	0.015588826	106.306	60.461	121.516	57.307	47.134	51.115	61.462	58.214
ENSMUSG00000031959	0.497474885	0.154090835	3.283529039	0.015642662	8.722	8.482	9.418	6.714	11.606	9.689	10.55	11.337
ENSMUSG00000052271	-1.719569039	0.154090835	0.292643521	0.015639542	3.717	0.128	2.46	0.814	0.395	0.211	0.559	0.696
ENSMUSG00000023039	-1.314961418	0.154263266	1.347628244	0.015670289	5.433	0.702	7.028	1.695	1.026	1.123	1.918	1.113
ENSMUSG00000107198	-0.534101312	0.154435691	3.495926461	0.015697939	17.301	9.885	17.078	11.461	11.211	7.864	8.072	7.79
ENSMUSG00000106341	1.249950537	0.154604608	-0.140444937	0.015725254	0.929	0.383	0.281	0.339	0.947	1.053	1.039	1.182
ENSMUSG00000032060	-0.783506693	0.155412052	2.438438525	0.015817579	8.078	3.699	11.456	5.29	2.921	3.44	4.236	4.173
ENSMUSG00000104583	1.201320253	0.155494867	0.106042594	0.015836212	1.001	0.383	0.351	0.678	1.421	0.913	1.678	1.113
ENSMUSG00000024526	-1.412813052	0.155995647	2.367145693	0.01589745	3.932	9.375	2.038	13.632	6	2.247	0.799	1.53
ENSMUSG00000049866	-0.770400618	0.156405503	2.423562349	0.015949482	10.795	4.337	8.715	4.205	4.105	3.721	2.957	3.964
ENSMUSG00000110816	1.144685186	0.156533392	0.291881786	0.015972795	0.929	0.255	1.054	0.678	1.184	1.615	1.838	1.182
ENSMUSG00000041638	0.392776202	0.157530762	5.387319457	0.016084905	39.749	32.718	47.229	32.146	48.318	42.058	47.155	44.165
ENSMUSG00000042289	0.527529739	0.157633731	7.991336331	0.016105763	152.2	261.608	213.872	229.718	303.785	309.915	284.541	253.96
ENSMUSG00000102752	-0.929089044	0.157799981	2.755031351	0.016133104	19.517	6.186	7.731	3.527	4.737	4.353	4.396	3.895
ENSMUSG00000021886	-0.962445488	0.159304113	2.019531032	0.016297337	7.078	2.934	9.629	2.577	1.658	2.879	2.318	3.199
ENSMUSG00000020788	-0.915545383	0.159983958	1.367885967	0.016377385	4.861	2.105	4.287	2.238	1.342	1.896	1.279	1.878
ENSMUSG00000030678	-0.439089186	0.160064438	4.406935129	0.016396128	24.45	21.302	32.119	24.008	16.185	18.606	13.827	19.961
ENSMUSG00000021939	-0.479197549	0.160482938	8.71153901	0.016480019	565.658	407.884	663.066	425.573	347.2	371.694	312.019	312.665
ENSMUSG00000024158	0.464498612	0.160482938	7.159709016	0.016481121	112.883	141.776	107.46	132.723	150.165	174.62	162.966	147.239
ENSMUSG00000026126	-1.030611575	0.160482938	0.869493839	0.016462331	2.431	2.232	3.444	1.356	0.711	1.264	0.719	1.461
ENSMUSG00000032802	-0.51950824	0.160482938	5.728107906	0.016458848	76.78	47.45	92.561	48.084	36.712	34.053	55.308	39.992
ENSMUSG00000022584	-1.088346613	0.160877713	0.961422229	0.016550204	4.218	1.02	3.444	1.763	1.026	1.123	0.879	1.321
ENSMUSG00000034613	-0.650892399	0.160877713	2.915081911	0.016543828	12.582	5.995	13.143	6.782	5.053	6.109	4.795	6.051
ENSMUSG00000035031	0.563745888	0.160877713	10.30929453	0.016553334	1375.113	995.241	1038.969	881.855	1254.216	1722.821	1395.882	1429.406
ENSMUSG00000025511	-0.596405068	0.161056309	2.70926844	0.016582279	9.683	6.567	8.552	7.46	5.816	3.931	4.994	4.773
ENSMUSG00000031273	-1.62429192	0.161307009	0.493810611	0.016618676	3.789	0.255	3.514	0.678	0.79	0.281	0.4	0.835
ENSMUSG00000027134	-1.451759789	0.161358426	0.35847222	0.016634562	2.216	0.829	3.374	0.678	0.79	0.491	0.08	0.904
ENSMUSG00000067219	-1.144228862	0.161521864	4.105213812	0.01666201	26.094	20.791	21.857	28.755	7.895	1.545	7.433	23.786
ENSMUSG00000022021	-1.486879434	0.161536863	0.556999672	0.016684758	2.002	0.702	5.271	0.475	0.553	0.632	0.639	0.765
ENSMUSG00000022110	0.400272945	0.161536863	6.945479614	0.016676019	109.737	100.321	126.928	107.155	142.743	148.641	130.197	116.011
ENSMUSG00000052477	-1.395030608	0.161570596	0.001329894	0.016701172	1.787	0.638	1.546	1.221	0.711	0.632	0	0.417
ENSMUSG00000106560	1.181708459	0.161570596	1.068878143	0.016709447	1.072	1.02	0.773	2.102	5.369	1.966	1.598	1.739
ENSMUSG00000006219	-0.957496232	0.162974298	2.07488302	0.016865311	9.222	2.36	7.942	3.527	2.053	1.826	3.357	3.269
ENSMUSG00000103313	1.373636703	0.163187987	1.136830746	0.016898133	2.502	0.383	0.914	1.153	1.816	0.772	4.476	4.451
ENSMUSG00000031996	-0.481260943	0.163207345	8.720121438	0.016910847	437.448	505.752	532.381	562.426	359.859	316.381	324.014	349.909
ENSMUSG00000024397	-0.761021152	0.163242466	2.029644568	0.016925198	6.434	3.699	5.482	5.154	2.526	3.651	1.758	3.199
ENSMUSG00000039852	0.523002347	0.163437731	4.471027548	0.016956169	26.737	15.817	20.874	13.089	33.712	24.575	21.18	20.587
ENSMUSG00000030107	-0.708094214	0.163459729	3.777744437	0.016969177	20.655	12.054	27.967	11.274	11.132	14.885	5.355	8.207
ENSMUSG00000028035	0.551653803	0.163752918	5.89148344	0.017048896	49.9	43.305	53.344	53.984	55.739	40.302	90.954	82.07
ENSMUSG00000028459	-0.897623027	0.163752918	2.853944978	0.017053342	15.337	3.144	15.186	6.195	4.346	3.686	5.775	5.061
ENSMUSG00000063354	-1.170754767	0.163752918	4.458042534	0.017025791	47.827	7.781	66.978	10.715	5.527	12.006	15.985	17.596
ENSMUSG00000067276	-0.738765701	0.163752918	2.866697771	0.017052933	8.722	5.612	16.586	7.257	4.658	3.651	5.675	6.468
ENSMUSG00000069633	0.391040104	0.163752918	4.539781833	0.017021473	20.804	20.016	22.209	20.444	26.501	25.822	24.114	24.273
ENSMUSG00000028381	-0.382290822	0.163857838	4.869120637	0.017075021	35.674	32.718	36.968	32.079	23.527	25.628	24.936	22.674
ENSMUSG00000105137	1.13763209	0.164020451	0.20435643	0.01710273	0.715	0.765	0.633	0.543	2.132	1.545	0.879	0.904
ENSMUSG00000086136	1.439883603	0.1640695	-0.491912306	0.01711861	0.286	0.574	0.281	0.136	1.342	0.491	0.719	0.765
ENSMUSG00000039219	0.38284061	0.164158651	5.336962797	0.017138685	40.177	29.656	42.028	35.055	41.844	42.76	43.639	46.599
ENSMUSG00000024780	0.40097495	0.164319246	6.251383705	0.0171878	64.556	66.547	65.659	75.151	84.691	84.625	85.168	77.407
ENSMUSG00000037012	-0.614212998	0.164319246	3.300003056	0.017168853	14.655	6.441	18.414	10.58	6.711	7.864	7.113	7.651
ENSMUSG00000109498	0.818254774	0.164319246	2.150223966	0.017181931	5.004	2.679	3.444	2.102	7.106	3.089	6.074	4.938
ENSMUSG00000028961	-0.425984656	0.164736748	4.696008476	0.017242281	30.455	26.212	30.432	35.876	19.422	21.204	19.661	23.995
ENSMUSG00000041268	0.390462922	0.165084683	6.168671276	0.01728953	63.483	64.542	69.438	61.58	94.031	70.494	70.254	78.175
ENSMUSG00000026288	-0.710172178	0.165856726	3.305043245	0.017381271	18.73	6.314	18.835	8.071	6.474	7.934	7.992	5.842
ENSMUSG00000024736	-0.955988258	0.165935583	1.833484336	0.017400424	4.946	2.764	8.153	3.36	0.988	2.072	2.558	3.177
ENSMUSG00000087691	1.300849102	0.166147795	0.771738796	0.01743358	0.632	1.212	0.228	1.59	1.886	3.695	1.267	1.815
ENSMUSG00000040640	0.58378486	0.166200285	3.242736865	0.0174609	9.294	7.972	8.363	5.697	12.158	11.585	12.388	6.886
ENSMUSG00000103272	1.124533506	0.166200285	0.230654263	0.017457582	0.572	1.02	0.562	0.543	1.974	0.983	1.279	1.321
ENSMUSG00000031443	0.421678643	0.166563207	5.452237605	0.017520215	34.53	40.754	35.914	43.065	44.528	50.413	48.994	47.642
ENSMUSG00000035184	-0.536709916	0.166563207	4.486356041	0.017520889	30.669	23.534	35.633	21.431	10.579	23.241	17.503	18.153
ENSMUSG00000005873	-0.502106198	0.166655203	3.939295915	0.01755933	18.016	17.092	20.592	18.65	9.079	12.006	10.47	16.553
ENSMUSG00000031075	-0.707987222	0.166655203	3.210421473	0.017563374	14.012	7.015	20.944	6.646	7.263	7.162	5.675	6.399
ENSMUSG00000032410	0.434275662	0.166655203	5.011641381	0.017549679	34.601	25.122	33.311	22.109	45.234	34.257	32.555	29.907
ENSMUSG00000031298	-1.037151993	0.167332203	0.787450835	0.017654203	2.288	2.424	2.39	1.695	1.342	1.474	0.559	0.556
ENSMUSG00000036155	-0.402655018	0.167332203	5.062432683	0.017656682	38.676	39.032	38.303	41.302	26.054	26.541	25.736	31.506
ENSMUSG00000097998	1.538144833	0.167616667	-0.212369862	0.017705523	0.715	0.255	0.422	0.203	1.026	0.211	1.039	1.947
ENSMUSG00000105861	1.212853225	0.167616667	0.522393018	0.017708697	1.358	0.51	1.265	0.271	2.763	1.615	1.758	0.974
ENSMUSG00000026361	0.55591732	0.168330347	4.435552817	0.017795143	27.953	15.709	17.039	12.741	34.344	20.081	22.379	21.7
ENSMUSG00000097317	-1.416319662	0.168541425	0.065531036	0.017828517	2.073	0.446	2.319	0.746	0.395	0.702	0.16	0.556
ENSMUSG00000020044	-0.650166806	0.168725535	6.594891904	0.017859065	177.694	63.501	196.947	71.087	62.678	69.045	77.992	77.925
ENSMUSG00000022214	0.415219703	0.168798154	6.618569273	0.017877828	88.74	76.767	113.156	75.353	115.204	100.729	121.887	92.047
ENSMUSG00000015484	-1.471603906	0.168807328	0.030634909	0.017900954	1.215	0.319	3.092	0.882	0.553	0.421	0.48	0.278
ENSMUSG00000028247	0.430561362	0.168807328	3.792472112	0.017897398	13.011	11.863	12.37	11.529	14.369	16.079	15.505	14.467
ENSMUSG00000054150	-0.815660498	0.168954836	2.29686336	0.017927684	7.935	5.867	3.655	7.596	4.895	2.387	2.638	3.338
ENSMUSG00000032334	-0.961610389	0.169114415	2.805879036	0.018000104	11.724	4.337	19.468	3.798	2.921	5.477	3.996	5.286
ENSMUSG00000033436	-0.696643892	0.169114415	2.986619119	0.017995654	13.44	6.697	15.181	5.832	4.5	6.811	5.035	6.329
ENSMUSG00000042379	-1.26330333	0.169114415	2.233232367	0.017977093	12.01	1.786	11.386	2.781	0.79	4.213	2.478	2.643
ENSMUSG00000052512	0.586215887	0.169114415	6.023215903	0.017994454	64.014	55.422	51.516	45.606	118.584	83.062	52.031	46.808
ENSMUSG00000107610	1.131322991	0.169114415	0.155692461	0.017998241	0.5	0.765	1.054	0.271	1.421	1.334	1.359	1.113
ENSMUSG00000091479	-1.390350974	0.169366992	0.614526754	0.018038101	0.538	2.773	3.605	1.344	0.375	0.381	1.156	0.952
ENSMUSG00000026335	-0.492788037	0.169486969	5.843163325	0.018062001	91.007	52.361	97.269	44.693	40.186	45.779	48.115	48.129
ENSMUSG00000027834	-1.524894969	0.169771456	0.189731589	0.018103459	3.432	0.383	1.968	0.543	0.474	0.491	0.24	0.696
ENSMUSG00000097167	1.35200129	0.169846571	-0.332320225	0.018122615	0.402	0.575	0.259	0.298	0.629	0.539	1.411	1.119
ENSMUSG00000022952	-0.937209525	0.169891952	1.842091903	0.018138605	7.506	2.232	7.239	2.441	2.29	2.247	2.078	2.365
ENSMUSG00000031431	0.826435881	0.169997092	6.51985763	0.018185148	101.659	49.3	46.948	78.06	75.477	46.692	142.905	182.431
ENSMUSG00000037262	0.479453749	0.169997092	3.543260536	0.018163446	8.793	9.822	11.878	9.698	12.474	13.621	14.466	10.919
ENSMUSG00000045776	1.152285922	0.169997092	1.661713107	0.018194452	1.215	2.168	2.952	1.56	7.974	4.353	1.039	2.921
ENSMUSG00000091144	0.764994594	0.169997092	1.764205864	0.018174136	2.788	1.85	3.444	2.17	5.132	3.23	3.677	3.825
ENSMUSG00000029591	-0.95901324	0.170117918	2.024518691	0.018218547	9.866	2.806	5.412	3.934	3.711	1.545	1.598	3.338
ENSMUSG00000018008	-0.670517419	0.170139676	2.972037468	0.018232042	12.654	5.995	14.127	7.528	7.027	5.898	3.677	6.19
ENSMUSG00000073835	1.597761532	0.170829322	-0.515369042	0.018317154	0	0.446	0.351	0.339	0.395	1.474	0.799	0.626
ENSMUSG00000026034	0.440038208	0.171204702	6.498526514	0.018368639	83.786	74.236	78.575	82.536	101.768	110.937	114.052	71.568
ENSMUSG00000010095	-0.48622755	0.17135418	4.878062116	0.018395921	43.68	22.705	48.846	29.976	20.606	27.383	24.777	20.587
ENSMUSG00000063273	0.465151591	0.171500409	5.310157781	0.018422874	50.472	27.871	37.39	24.822	48.871	39.881	46.516	40.687
ENSMUSG00000021903	-0.894457615	0.171530056	3.051052484	0.01844857	20.661	5.612	14.478	4.883	4.184	8.355	4.476	4.729
ENSMUSG00000032562	-0.40456487	0.171530056	6.129666795	0.018441967	84.573	62.055	111.255	78.196	54.397	57.434	55.308	63.43
ENSMUSG00000026342	-0.41275964	0.171581773	5.091344106	0.018478571	38.819	37.31	45.472	40.285	35.844	26.821	22.858	26.429
ENSMUSG00000027965	-0.582623741	0.171581773	3.025304013	0.018493992	10.08	6.952	13.424	9.969	7.816	6.46	4.875	5.425
ENSMUSG00000028145	0.519039013	0.171581773	4.133746231	0.018510429	15.37	14.477	11.807	17.565	24.87	14.253	19.901	19.822
ENSMUSG00000040710	-0.738521734	0.171581773	2.455753281	0.018508274	9.937	5.102	9.137	4.205	3.948	5.126	2.957	3.269
ENSMUSG00000092341	0.65576188	0.171581773	12.28455807	0.018468569	5180.392	2469.511	5095.115	3703.684	6045.832	5583.703	6477.725	5282.027
ENSMUSG00000021210	0.633091866	0.171674577	9.759197114	0.018531707	503.863	879.996	534.981	852.693	1068.523	1019.987	1021.676	930.866
ENSMUSG00000019194	-0.82225982	0.172437645	1.530568243	0.018625393	4.218	2.615	3.725	4.069	1.421	1.615	1.918	2.573
ENSMUSG00000027562	-0.519616334	0.172819355	3.10062919	0.018677963	11.796	9.375	11.034	9.359	8.053	7.092	5.675	5.773
ENSMUSG00000003644	-0.513763226	0.172837557	3.968539287	0.018722337	15.442	21.11	19.187	19.668	14.685	14.745	9.831	9.807
ENSMUSG00000057465	-1.891540978	0.172837557	5.988803998	0.018695065	392.481	11.926	21.295	12.004	15.553	42.058	13.907	31.715
ENSMUSG00000057789	-0.435766509	0.172837557	4.219459053	0.018725297	21.87	16.993	30.193	20.601	14.187	17.029	14.669	14.327
ENSMUSG00000107955	1.661490062	0.172837557	-1.054596145	0.01871378	0.286	0.128	0.211	0.068	0.553	0.562	0.16	0.765
ENSMUSG00000106682	1.254740072	0.172974297	0.354439021	0.018751463	1.215	0.383	0.843	0.475	2.842	1.123	1.678	0.696
ENSMUSG00000027204	-0.851143423	0.173489164	4.784783013	0.018825854	60.195	14.605	64.927	14.31	18.783	17.553	20.301	18.222
ENSMUSG00000086141	0.683073554	0.173489164	2.549151905	0.018830046	5.004	4.975	4.779	3.594	7.579	6.881	8.552	4.103
ENSMUSG00000046876	0.498841654	0.173500594	5.487051758	0.018851604	60.795	29.274	37.501	29.193	54.038	41.978	47.235	57.761
ENSMUSG00000090576	1.417411425	0.173500594	-0.503499805	0.018854058	0.286	0.064	0.562	0.407	0.632	0.983	0.48	1.113
ENSMUSG00000029597	-0.820037	0.173871475	4.477666655	0.018961645	57.401	12.732	35.248	16.525	10.168	12.935	16.8	21.223
ENSMUSG00000033688	0.447831419	0.173871475	8.697199232	0.018922147	364.6	363.338	366.166	365.953	477.654	465.794	446.698	446.794
ENSMUSG00000034438	-0.838785683	0.173871475	2.498698514	0.018907308	10.223	3.253	8.645	7.799	5.132	4.494	1.758	3.756
ENSMUSG00000037541	-0.419852906	0.173871475	4.87385261	0.018974228	34.029	29.401	43.856	32.96	30.633	21.485	20.301	23.508
ENSMUSG00000054951	-1.441035719	0.173871475	0.043299478	0.018942283	2.216	0.383	2.249	0.678	0.158	0.562	0.48	0.556
ENSMUSG00000067199	-0.792782498	0.173871475	2.816728855	0.018943519	6.649	12.309	7.942	8.884	8.29	4.634	3.597	2.921
ENSMUSG00000079057	0.543276584	0.173871475	9.49755273	0.018969549	571.168	689.927	483.049	676.012	917.489	833.237	750.802	789.836
ENSMUSG00000030127	-0.385141266	0.174229802	5.172671529	0.019031944	40.392	42.539	47.51	39.267	29.212	26.962	32.449	30.741
ENSMUSG00000113020	1.336421369	0.174229802	-0.14540309	0.019036198	0.715	0.255	0.492	0.407	1.421	0.351	1.519	1.043
ENSMUSG00000028359	-1.389900559	0.174235261	0.086383257	0.019048228	2.002	1.403	1.195	0.882	0.079	0.351	0.32	1.113
ENSMUSG00000024087	-0.801462942	0.174937579	2.917617447	0.019136488	16.514	4.656	13.564	5.765	3.711	5.055	5.914	5.912
ENSMUSG00000031314	0.425604452	0.175027607	5.85013789	0.019157822	59.194	42.412	60.161	45.032	54.239	55.328	80.004	62.804
ENSMUSG00000066842	0.432403545	0.175241654	3.694020173	0.01919275	12.511	10.268	12.159	10.715	13.185	14.667	12.868	15.718
ENSMUSG00000032540	0.43064679	0.175244613	5.108008871	0.019204574	30.81	30.709	31.386	28.995	27.551	39.842	42.632	40.895
ENSMUSG00000021725	-0.878644647	0.17541741	2.865872106	0.019235021	15.013	3.827	15.602	5.561	3.948	3.44	6.634	5.147
ENSMUSG00000106767	0.989484931	0.175942786	0.560130107	0.019304176	1.077	1.151	0.919	0.611	2.056	1.267	1.998	1.602
ENSMUSG00000012429	0.471178607	0.176096569	3.558203762	0.019332605	11.581	7.949	10.948	10.474	15.08	10.672	13.427	12.797
ENSMUSG00000027315	-1.148463909	0.17631639	1.381807622	0.019368307	5.433	1.212	6.677	1.356	1.263	1.404	1.439	1.669
ENSMUSG00000022178	-0.915210315	0.176593524	3.03304893	0.019432766	13.583	4.592	22.912	4.68	4.579	6.74	5.275	4.66
ENSMUSG00000027167	0.61079841	0.176593524	3.472010042	0.019420834	6.22	11.926	8.082	9.359	13.737	15.938	11.509	9.737
ENSMUSG00000035944	0.454325165	0.176593524	5.766922303	0.019433515	39.391	51.149	43.153	55.273	53.924	58.277	69.614	58.631
ENSMUSG00000000958	-0.822980685	0.17718013	1.85869264	0.019525141	6.401	2.832	6.362	3.308	2.073	3.324	1.855	2.314
ENSMUSG00000029163	-0.64856426	0.17718013	4.815671366	0.019531972	54.833	19.324	52.219	20.888	18.632	16.851	21.819	26.221
ENSMUSG00000101537	0.893623744	0.17718013	0.983760411	0.01953295	1.072	1.02	1.616	1.695	2.605	2.247	1.758	2.643
ENSMUSG00000037206	-0.644315773	0.177554462	2.939924569	0.019585869	12.225	6.186	14.408	6.375	6.395	5.617	5.275	5.216
ENSMUSG00000042644	-0.935290715	0.178131379	2.314185408	0.019661197	8.15	3.699	10.612	4.612	1.105	3.932	2.797	4.729
ENSMUSG00000031506	-1.46256428	0.178366341	0.236493398	0.019698835	2.431	1.531	1.898	0.475	0.868	0.772	0	0.417
ENSMUSG00000024778	-0.467474133	0.178597873	3.597300512	0.019739199	19.016	12.181	14.759	12.343	10.895	9.76	8.392	9.459
ENSMUSG00000032053	-1.46169198	0.178597873	-0.431676716	0.019747845	0.715	0.638	1.476	0.814	0.474	0.491	0	0.209
ENSMUSG00000023277	-0.754010439	0.178693628	1.848870959	0.019778778	5.576	2.998	5.974	3.798	2.211	2.738	1.998	2.852
ENSMUSG00000028683	0.494192358	0.178693628	3.359916629	0.019781885	10.152	8.546	9.839	6.782	9.553	12.217	12.388	11.267
ENSMUSG00000070462	-0.6670121	0.178829284	2.434987836	0.019812431	7.649	4.273	9.699	5.765	4.027	3.792	3.277	4.451
ENSMUSG00000087231	1.18488907	0.178829284	0.985578637	0.019820373	1.554	0.94	1.213	1.064	5.246	2.684	1.035	1.077
ENSMUSG00000107970	1.089973432	0.17967519	1.065774586	0.019925918	2.86	0.957	0.703	0.814	2.447	1.685	3.117	3.06
ENSMUSG00000054477	0.442444452	0.179699218	4.221480653	0.019952167	15.488	17.622	14.689	17.179	23.598	19.394	17.114	21.886
ENSMUSG00000056529	-0.923679281	0.179699218	1.699685465	0.019943262	4.575	3.635	5.904	2.984	3.869	1.896	1.279	1.182
ENSMUSG00000019861	0.377616216	0.179703483	6.046080539	0.019986549	62.053	57.782	59.599	59.478	75.556	69.862	61.302	79.427
ENSMUSG00000043542	-0.953162894	0.179703483	1.746935166	0.019979	5.791	2.742	7.731	1.899	2.605	1.474	2.238	2.017
ENSMUSG00000104713	-0.693260994	0.179703483	4.436669201	0.019988018	31.313	21.557	32.611	26.314	16.817	27.173	6.394	12.867
ENSMUSG00000023972	-0.971647311	0.180007001	1.652034427	0.02003359	6.649	1.977	6.396	2.035	2.211	2.036	1.998	1.461
ENSMUSG00000105987	-1.048585844	0.180074493	2.405972142	0.020052918	10.581	1.977	14.197	3.527	2.921	2.668	4.396	2.782
ENSMUSG00000045594	-0.503989205	0.180121787	3.416825437	0.020070004	15.29	10.507	13.916	12.14	8.685	10.813	6.394	7.511
ENSMUSG00000027556	1.126911681	0.180265029	1.83423822	0.020158768	0.786	2.105	0.984	4.815	3.869	5.406	4.156	4.729
ENSMUSG00000037022	0.439963885	0.180265029	4.257715642	0.020148716	14.727	17.028	17.641	17.565	18.317	19.309	25.176	20.935
ENSMUSG00000042804	-1.260419212	0.180265029	1.347883034	0.020169197	6.22	0.893	5.833	1.695	1.816	0.491	1.519	1.53
ENSMUSG00000044949	-1.186381686	0.180265029	0.572451043	0.020180598	1.644	2.105	3.303	0.746	0.868	0.772	0.32	1.113
ENSMUSG00000063286	-0.624327667	0.180265029	4.212211507	0.020137344	34.315	11.99	30.854	18.243	17.053	16.711	8.792	13.076
ENSMUSG00000083798	-1.420664265	0.180265029	-0.606426777	0.020149266	0.572	1.084	0.914	0.475	0.316	0.351	0.08	0.278
ENSMUSG00000090105	0.742513803	0.180265029	2.117711337	0.020098194	2.842	2.677	2.718	4.792	4.157	5.257	5.175	5.63
ENSMUSG00000110040	0.594591926	0.180265029	4.642393156	0.020163676	26.487	22.119	13.163	20.112	21.605	38.966	32.732	21.136
ENSMUSG00000086771	1.347126663	0.180303892	0.829561835	0.020196781	0.572	1.786	0.211	1.153	3.79	2.809	1.519	1.113
ENSMUSG00000021611	0.840296709	0.181620184	2.368826767	0.020356144	2.431	4.209	3.865	4.408	10.343	4.985	6.394	3.269
ENSMUSG00000031594	-0.618954952	0.18172492	7.653695273	0.020390173	426.725	202.428	210.071	188.877	97.426	143.586	176.074	189.526
ENSMUSG00000034205	-0.823153116	0.18172492	2.84482326	0.020397639	12.582	3.827	16.305	6.104	3.869	4.564	6.554	4.382
ENSMUSG00000109863	1.431476767	0.18172492	-0.084054189	0.020403658	1.072	0.191	0.422	0.203	1.421	0.491	0.879	1.808
ENSMUSG00000008601	-2.053616797	0.182586298	-0.696515254	0.020512353	1.215	0	1.406	0.61	0.079	0.07	0.08	0.417
ENSMUSG00000029414	-1.380074776	0.182843965	0.64888192	0.020565297	2.645	0.574	4.92	0.746	0.553	1.123	0.639	0.626
ENSMUSG00000086682	0.751459974	0.182843965	2.280646176	0.020563454	3.81	3.593	2.458	4.69	6.94	4.004	6.886	5.013
ENSMUSG00000040562	-0.477961625	0.183116645	5.743420018	0.020618703	60.91	53.573	94.81	53.645	53.292	30.192	46.116	41.73
ENSMUSG00000084910	0.816353601	0.183116645	1.38969915	0.020619999	1.43	2.168	1.898	1.967	2.447	3.651	3.037	3.06
